Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Total Precipitation daily sum [sfc];Snowfall amount raw daily sum [sfc];Total Cloud Cover daily mean [sfc];High Cloud Cover daily mean [high cld lay];Medium Cloud Cover daily mean [mid cld lay];Low Cloud Cover daily mean [low cld lay];Sunshine Duration daily sum [sfc];Shortwave Radiation daily sum [sfc];Wind Speed daily mean [10 m above gnd];Wind Direction daily mean [10 m above gnd];Wind Gust daily mean [sfc];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL];Total Cloud Cover daily max [sfc];Total Cloud Cover daily min [sfc];High Cloud Cover daily max [high cld lay];High Cloud Cover daily min [high cld lay];Medium Cloud Cover daily max [mid cld lay];Medium Cloud Cover daily min [mid cld lay];Low Cloud Cover daily max [low cld lay];Low Cloud Cover daily min [low cld lay];Wind Speed daily max [10 m above gnd];Wind Speed daily min [10 m above gnd];Wind Gust daily max [sfc];Wind Gust daily min [sfc]
2012;02;13;00;00;-3.96;71.54;1026.19;0.90;0.00;57.85;4.62;47.46;49.67;91.28;2907.63;2.21;245.07;3.17;1.17;-9.14;88.00;52.00;1029.70;1019.80;100.00;0.00;25.00;0.00;100.00;0.00;100.00;0.00;6.61;0.63;9.30;0.70
2012;02;14;00;00;0.75;80.33;1018.83;4.80;0.63;71.88;5.67;18.38;71.88;290.33;2897.84;4.02;229.14;5.61;4.32;-3.85;94.00;64.00;1020.10;1015.90;100.00;8.00;17.00;0.00;100.00;0.00;100.00;8.00;7.27;0.72;10.90;0.60
2012;02;15;00;00;2.62;88.42;1017.36;11.50;0.42;91.25;19.75;65.50;86.46;0.00;843.72;9.78;278.08;13.23;5.08;0.68;97.00;76.00;1020.60;1014.90;100.00;14.00;100.00;0.00;100.00;0.00;100.00;0.00;14.77;2.69;20.00;2.90
2012;02;16;00;00;3.10;83.71;1024.89;0.50;0.28;62.38;0.21;0.00;62.38;228.77;1861.88;2.56;285.54;2.95;5.40;0.74;100.00;67.00;1028.70;1020.70;100.00;0.00;3.00;0.00;0.00;0.00;100.00;0.00;4.55;0.63;5.20;0.50
2012;02;17;00;00;3.06;78.29;1027.21;0.00;0.00;21.81;19.25;18.46;3.33;579.64;3276.09;2.26;215.60;2.95;6.90;0.19;89.00;71.00;1028.70;1025.80;100.00;0.00;100.00;0.00;100.00;0.00;19.00;0.00;4.72;0.64;5.80;1.20
2012;02;18;00;00;4.82;76.42;1021.56;0.00;0.00;32.14;16.50;18.25;17.29;547.07;3294.78;1.84;198.38;2.45;9.79;1.08;87.00;66.00;1025.70;1016.40;100.00;0.90;58.00;3.00;100.00;0.00;100.00;0.00;3.22;0.51;5.70;0.30
2012;02;19;00;00;5.00;72.50;1019.56;4.00;0.00;69.25;18.33;58.71;67.21;320.81;1986.48;4.38;286.19;8.64;6.77;2.26;87.00;53.00;1027.50;1014.00;100.00;0.00;100.00;0.00;100.00;0.00;100.00;0.00;7.70;1.50;14.00;2.50
2012;02;20;00;00;1.22;78.46;1031.42;0.00;0.07;47.25;0.00;0.00;47.25;431.51;3462.10;3.15;172.73;4.17;5.50;-2.05;97.00;45.00;1034.10;1027.80;100.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;6.63;0.36;7.70;0.60
2012;02;21;00;00;0.12;78.38;1032.92;0.00;0.00;10.64;0.38;1.38;9.17;637.50;3650.78;1.19;243.60;1.50;4.57;-3.46;100.00;64.00;1034.40;1031.70;100.00;0.00;4.00;0.00;33.00;0.00;100.00;0.00;1.93;0.41;3.10;0.20
2012;02;22;00;00;2.76;73.08;1031.07;0.00;0.00;0.30;1.00;0.00;0.00;642.19;3624.08;1.08;170.45;1.35;6.77;-1.61;80.00;66.00;1033.80;1028.00;4.50;0.00;15.00;0.00;0.00;0.00;0.00;0.00;1.97;0.32;2.30;0.50
